employee_id,office_id
3738,2959
3911,2959
3706,2959
3707,2959
3735,2959
3711,2959
3718,2959
3851,2959
3732,2959
3811,2959
3786,2959
3912,2959
3913,2959
3741,2959
3745,2959
3710,2959
3773,2959
3712,2959
3748,2959
3709,2959
3914,2959
3750,2959
3784,2959
3905,2959
3698,2960
3771,2960
3703,2960
3915,2960
3700,2960
3701,2960
3916,2960
3790,2960
3917,2960
3707,2960
3705,2960
3718,2960
3706,2960
3735,2960
3740,2960
3918,2960
3710,2960
3711,2960
3712,2960
3919,2960
3793,2960
3776,2960
3787,2960
3713,2960
3698,2961
3920,2961
3784,2961
3854,2961
3709,2961
3701,2961
3921,2961
3700,2961
3922,2961
3741,2961
3923,2961
3703,2961
3705,2961
3718,2961
3706,2961
3924,2961
3811,2961
3735,2961
3740,2961
3803,2961
3925,2961
3710,2961
3732,2961
3711,2961
3712,2961
3707,2961
3745,2961
3786,2961
3713,2961
3703,2962
3698,2962
3700,2962
3701,2962
3705,2962
3926,2962
3927,2962
3706,2962
3928,2962
3707,2962
3718,2962
3740,2962
3799,2962
3929,2962
3710,2962
3711,2962
3712,2962
3713,2962
3703,2963
3698,2963
3700,2963
3701,2963
3705,2963
3930,2963
3729,2963
3706,2963
3707,2963
3718,2963
3931,2963
3932,2963
3709,2963
3710,2963
3711,2963
3712,2963
3713,2963
3703,2964
3698,2964
3700,2964
3701,2964
3707,2964
3705,2964
3905,2964
3706,2964
3718,2964
3716,2964
3726,2964
3710,2964
3711,2964
3712,2964
3874,2964
3713,2964
3754,2965
3738,2965
3700,2965
3933,2965
3934,2965
3919,2965
3935,2965
3936,2965
3705,2965
3703,2965
3718,2965
3706,2965
3735,2965
3710,2965
3803,2965
3745,2965
3698,2965
3711,2965
3712,2965
3707,2965
3701,2965
3759,2965
3770,2965
3937,2965
3922,2965
3938,2965
3757,2965
3786,2965
3713,2965
3703,2966
3733,2966
3700,2966
3701,2966
3811,2966
3860,2966
3939,2966
3940,2966
3705,2966
3941,2966
3910,2966
3706,2966
3787,2966
3707,2966
3942,2966
3718,2966
3943,2966
3944,2966
3710,2966
3711,2966
3712,2966
3849,2966
3773,2966
3783,2966
3709,2966
3945,2966
3946,2966
3698,2966
3713,2966
3698,2967
3703,2967
3700,2967
3701,2967
3771,2967
3947,2967
3793,2967
3948,2967
3707,2967
3949,2967
3705,2967
3706,2967
3718,2967
3757,2967
3803,2967
3950,2967
3788,2967
3821,2967
3710,2967
3711,2967
3712,2967
3790,2967
3713,2967
